City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
272,Camacha,PT,33.0833,-16.3333,67.42,73,75,9.22,broken clouds
273,Luderitz,NA,-26.6481,15.1594,70.9,29,0,4.72,clear sky
274,Grand Gaube,MU,-20.0064,57.6608,68.4,86,88,5.99,light rain
275,Esperance,AU,-33.8667,121.9,58.64,78,100,12.77,overcast clouds
276,Twentynine Palms,US,34.1356,-116.0542,106.14,20,0,10.0,clear sky
277,Klaksvik,FO,62.2266,-6.589,49.12,75,34,5.55,scattered clouds
278,Sulphur Springs,US,33.1385,-95.6011,104.22,28,75,10.36,broken clouds
279,Hede,CN,33.7681,120.2517,75.56,81,71,1.12,broken clouds
280,Coxim,BR,-18.5067,-54.76,87.71,24,66,7.7,broken clouds
281,Kokorevka,RU,52.5872,34.2778,51.55,96,0,4.74,clear sky
282,Saint-Louis,SN,16.3333,-15.0,89.56,48,69,18.5,broken clouds
283,Scottsbluff,US,41.8666,-103.6672,97.03,30,0,16.11,clear sky
284,Harper,LR,4.375,-7.7169,74.75,85,100,9.66,overcast clouds
285,Santa Cruz,BO,-17.8,-63.1667,76.46,83,75,24.16,broken clouds
286,Watertown,US,42.3709,-71.1828,87.53,36,40,16.11,scattered clouds
287,Alta Floresta,BR,-9.8756,-56.0861,94.82,36,40,6.91,scattered clouds
288,Geraldton,AU,-28.7667,114.6,52.21,93,100,10.36,overcast clouds
289,Eureka,US,40.8021,-124.1637,72.19,70,4,5.99,clear sky
290,Aloleng,PH,16.1307,119.7824,81.75,82,100,6.2,overcast clouds
291,Bandarbeyla,SO,9.4942,50.8122,78.91,77,94,31.18,overcast clouds
292,Omboue,GA,-1.5746,9.2618,71.13,86,4,6.44,clear sky
293,Dalvik,IS,65.9702,-18.5286,58.93,70,75,2.98,broken clouds
294,Vila Velha,BR,-20.3297,-40.2925,75.15,73,20,10.36,few clouds
